Transaction,Item,period_day,month,day,hour,weekday_weekend
one,bread,morning,Oct,Sunday,nine,weekend
two,scandinavian,morning,Oct,Sunday,ten,weekend
two,scandinavian,morning,Oct,Sunday,ten,weekend
three,hot chocolate,morning,Oct,Sunday,ten,weekend
three,jam,morning,Oct,Sunday,ten,weekend
three,cookies,morning,Oct,Sunday,ten,weekend
four,muffin,morning,Oct,Sunday,ten,weekend
five,coffee,morning,Oct,Sunday,ten,weekend
five,pastry,morning,Oct,Sunday,ten,weekend
five,bread,morning,Oct,Sunday,ten,weekend
six,medialuna,morning,Oct,Sunday,ten,weekend
six,pastry,morning,Oct,Sunday,ten,weekend
six,muffin,morning,Oct,Sunday,ten,weekend
seven,medialuna,morning,Oct,Sunday,ten,weekend
seven,pastry,morning,Oct,Sunday,ten,weekend
seven,coffee,morning,Oct,Sunday,ten,weekend
seven,tea,morning,Oct,Sunday,ten,weekend
eight,pastry,morning,Oct,Sunday,ten,weekend
eight,bread,morning,Oct,Sunday,ten,weekend
nine,bread,morning,Oct,Sunday,ten,weekend
nine,muffin,morning,Oct,Sunday,ten,weekend
ten,scandinavian,morning,Oct,Sunday,ten,weekend
ten,medialuna,morning,Oct,Sunday,ten,weekend
eleven,bread,morning,Oct,Sunday,ten,weekend
eleven,medialuna,morning,Oct,Sunday,ten,weekend
eleven,bread,morning,Oct,Sunday,ten,weekend
twelve,jam,morning,Oct,Sunday,ten,weekend
twelve,coffee,morning,Oct,Sunday,ten,weekend
twelve,tartine,morning,Oct,Sunday,ten,weekend
twelve,pastry,morning,Oct,Sunday,ten,weekend
twelve,tea,morning,Oct,Sunday,ten,weekend
thirteen,basket,morning,Oct,Sunday,ten,weekend
thirteen,bread,morning,Oct,Sunday,ten,weekend
thirteen,coffee,morning,Oct,Sunday,ten,weekend
fourteen,bread,morning,Oct,Sunday,ten,weekend
fourteen,medialuna,morning,Oct,Sunday,ten,weekend
fourteen,pastry,morning,Oct,Sunday,ten,weekend
fifteen,mineral water,morning,Oct,Sunday,ten,weekend
fifteen,scandinavian,morning,Oct,Sunday,ten,weekend
sixteen,bread,morning,Oct,Sunday,ten,weekend
sixteen,medialuna,morning,Oct,Sunday,ten,weekend
sixteen,coffee,morning,Oct,Sunday,ten,weekend
seventeen,hot chocolate,morning,Oct,Sunday,ten,weekend
eighteen,farm house,morning,Oct,Sunday,ten,weekend
nineteen,farm house,morning,Oct,Sunday,ten,weekend
nineteen,bread,morning,Oct,Sunday,ten,weekend
twenty,bread,morning,Oct,Sunday,ten,weekend
twenty,medialuna,morning,Oct,Sunday,ten,weekend
twenty-one,coffee,morning,Oct,Sunday,ten,weekend
twenty-one,coffee,morning,Oct,Sunday,ten,weekend
twenty-one,medialuna,morning,Oct,Sunday,ten,weekend
twenty-one,bread,morning,Oct,Sunday,ten,weekend
twenty-two,jam,morning,Oct,Sunday,ten,weekend
twenty-three,scandinavian,morning,Oct,Sunday,ten,weekend
twenty-three,muffin,morning,Oct,Sunday,ten,weekend
twenty-four,bread,morning,Oct,Sunday,ten,weekend
twenty-five,scandinavian,morning,Oct,Sunday,ten,weekend
twenty-six,fudge,morning,Oct,Sunday,ten,weekend
twenty-seven,scandinavian,morning,Oct,Sunday,eleven,weekend
twenty-eight,coffee,morning,Oct,Sunday,eleven,weekend
twenty-eight,bread,morning,Oct,Sunday,eleven,weekend
twenty-nine,bread,morning,Oct,Sunday,eleven,weekend
twenty-nine,jam,morning,Oct,Sunday,eleven,weekend
thirty,bread,morning,Oct,Sunday,eleven,weekend
thirty-one,basket,morning,Oct,Sunday,eleven,weekend
thirty-two,scandinavian,morning,Oct,Sunday,eleven,weekend
thirty-two,muffin,morning,Oct,Sunday,eleven,weekend
thirty-three,coffee,morning,Oct,Sunday,eleven,weekend
thirty-four,coffee,morning,Oct,Sunday,eleven,weekend
thirty-four,muffin,morning,Oct,Sunday,eleven,weekend
thirty-five,muffin,morning,Oct,Sunday,eleven,weekend
thirty-five,scandinavian,morning,Oct,Sunday,eleven,weekend
thirty-six,tea,morning,Oct,Sunday,eleven,weekend
thirty-six,bread,morning,Oct,Sunday,eleven,weekend
thirty-seven,coffee,morning,Oct,Sunday,eleven,weekend
thirty-seven,bread,morning,Oct,Sunday,eleven,weekend
thirty-eight,bread,morning,Oct,Sunday,eleven,weekend
thirty-eight,tea,morning,Oct,Sunday,eleven,weekend
thirty-nine,scandinavian,morning,Oct,Sunday,eleven,weekend
forty,juice,morning,Oct,Sunday,eleven,weekend
forty,tartine,morning,Oct,Sunday,eleven,weekend
forty,coffee,morning,Oct,Sunday,eleven,weekend
forty,muffin,morning,Oct,Sunday,eleven,weekend
forty-one,scandinavian,morning,Oct,Sunday,eleven,weekend
forty-two,bread,morning,Oct,Sunday,eleven,weekend
forty-two,tea,morning,Oct,Sunday,eleven,weekend
forty-three,scandinavian,afternoon,Oct,Sunday,twelve,weekend
forty-three,fudge,afternoon,Oct,Sunday,twelve,weekend
forty-four,coffee,afternoon,Oct,Sunday,twelve,weekend
forty-four,medialuna,afternoon,Oct,Sunday,twelve,weekend
forty-five,coffee,afternoon,Oct,Sunday,twelve,weekend
