Transaction,Item,period_day,weekday_weekend,month,day,hour
1,bread,morning,weekend,10,Sunday,9
2,scandinavian,morning,weekend,10,Sunday,10
2,scandinavian,morning,weekend,10,Sunday,10
3,hot chocolate,morning,weekend,10,Sunday,10
3,jam,morning,weekend,10,Sunday,10
3,cookies,morning,weekend,10,Sunday,10
4,muffin,morning,weekend,10,Sunday,10
5,coffee,morning,weekend,10,Sunday,10
5,pastry,morning,weekend,10,Sunday,10
5,bread,morning,weekend,10,Sunday,10
6,medialuna,morning,weekend,10,Sunday,10
6,pastry,morning,weekend,10,Sunday,10
6,muffin,morning,weekend,10,Sunday,10
7,medialuna,morning,weekend,10,Sunday,10
7,pastry,morning,weekend,10,Sunday,10
7,coffee,morning,weekend,10,Sunday,10
7,tea,morning,weekend,10,Sunday,10
8,pastry,morning,weekend,10,Sunday,10
8,bread,morning,weekend,10,Sunday,10
9,bread,morning,weekend,10,Sunday,10
9,muffin,morning,weekend,10,Sunday,10
10,scandinavian,morning,weekend,10,Sunday,10
10,medialuna,morning,weekend,10,Sunday,10
11,bread,morning,weekend,10,Sunday,10
11,medialuna,morning,weekend,10,Sunday,10
11,bread,morning,weekend,10,Sunday,10
12,jam,morning,weekend,10,Sunday,10
12,coffee,morning,weekend,10,Sunday,10
12,tartine,morning,weekend,10,Sunday,10
12,pastry,morning,weekend,10,Sunday,10
12,tea,morning,weekend,10,Sunday,10
13,basket,morning,weekend,10,Sunday,10
13,bread,morning,weekend,10,Sunday,10
13,coffee,morning,weekend,10,Sunday,10
14,bread,morning,weekend,10,Sunday,10
14,medialuna,morning,weekend,10,Sunday,10
14,pastry,morning,weekend,10,Sunday,10
15,mineral water,morning,weekend,10,Sunday,10
15,scandinavian,morning,weekend,10,Sunday,10
16,bread,morning,weekend,10,Sunday,10
16,medialuna,morning,weekend,10,Sunday,10
16,coffee,morning,weekend,10,Sunday,10
17,hot chocolate,morning,weekend,10,Sunday,10
18,farm house,morning,weekend,10,Sunday,10
19,farm house,morning,weekend,10,Sunday,10
19,bread,morning,weekend,10,Sunday,10
20,bread,morning,weekend,10,Sunday,10
20,medialuna,morning,weekend,10,Sunday,10
21,coffee,morning,weekend,10,Sunday,10
21,coffee,morning,weekend,10,Sunday,10
21,medialuna,morning,weekend,10,Sunday,10
21,bread,morning,weekend,10,Sunday,10
22,jam,morning,weekend,10,Sunday,10
23,scandinavian,morning,weekend,10,Sunday,10
23,muffin,morning,weekend,10,Sunday,10
24,bread,morning,weekend,10,Sunday,10
25,scandinavian,morning,weekend,10,Sunday,10
26,fudge,morning,weekend,10,Sunday,10
27,scandinavian,morning,weekend,10,Sunday,11
28,coffee,morning,weekend,10,Sunday,11
28,bread,morning,weekend,10,Sunday,11
29,bread,morning,weekend,10,Sunday,11
29,jam,morning,weekend,10,Sunday,11
30,bread,morning,weekend,10,Sunday,11
31,basket,morning,weekend,10,Sunday,11
32,scandinavian,morning,weekend,10,Sunday,11
32,muffin,morning,weekend,10,Sunday,11
33,coffee,morning,weekend,10,Sunday,11
34,coffee,morning,weekend,10,Sunday,11
34,muffin,morning,weekend,10,Sunday,11
35,muffin,morning,weekend,10,Sunday,11
35,scandinavian,morning,weekend,10,Sunday,11
36,tea,morning,weekend,10,Sunday,11
36,bread,morning,weekend,10,Sunday,11
37,coffee,morning,weekend,10,Sunday,11
37,bread,morning,weekend,10,Sunday,11
38,bread,morning,weekend,10,Sunday,11
38,tea,morning,weekend,10,Sunday,11
39,scandinavian,morning,weekend,10,Sunday,11
40,juice,morning,weekend,10,Sunday,11
40,tartine,morning,weekend,10,Sunday,11
40,coffee,morning,weekend,10,Sunday,11
40,muffin,morning,weekend,10,Sunday,11
41,scandinavian,morning,weekend,10,Sunday,11
42,bread,morning,weekend,10,Sunday,11
42,tea,morning,weekend,10,Sunday,11
43,scandinavian,afternoon,weekend,10,Sunday,12
43,fudge,afternoon,weekend,10,Sunday,12
44,coffee,afternoon,weekend,10,Sunday,12
44,medialuna,afternoon,weekend,10,Sunday,12
45,coffee,afternoon,weekend,10,Sunday,12
45,hot chocolate,afternoon,weekend,10,Sunday,12
45,medialuna,afternoon,weekend,10,Sunday,12
46,coffee,afternoon,weekend,10,Sunday,12
47,ella's kitchen pouches,afternoon,weekend,10,Sunday,12
47,juice,afternoon,weekend,10,Sunday,12
47,bread,afternoon,weekend,10,Sunday,12
47,muffin,afternoon,weekend,10,Sunday,12
47,jam,afternoon,weekend,10,Sunday,12
48,coffee,afternoon,weekend,10,Sunday,12
49,coffee,afternoon,weekend,10,Sunday,12
49,coffee,afternoon,weekend,10,Sunday,12
49,medialuna,afternoon,weekend,10,Sunday,12
50,bread,afternoon,weekend,10,Sunday,12
