Item,date_time,period_day,weekday_weekend
Bread,30-10-2016 09:58,morning,weekend
Scandinavian,30-10-2016 10:05,morning,weekend
Scandinavian,30-10-2016 10:05,morning,weekend
Hot chocolate,30-10-2016 10:07,morning,weekend
Jam,30-10-2016 10:07,morning,weekend
Cookies,30-10-2016 10:07,morning,weekend
Muffin,30-10-2016 10:08,morning,weekend
Coffee,30-10-2016 10:13,morning,weekend
Pastry,30-10-2016 10:13,morning,weekend
Bread,30-10-2016 10:13,morning,weekend
Medialuna,30-10-2016 10:16,morning,weekend
Pastry,30-10-2016 10:16,morning,weekend
Muffin,30-10-2016 10:16,morning,weekend
Medialuna,30-10-2016 10:19,morning,weekend
Pastry,30-10-2016 10:19,morning,weekend
Coffee,30-10-2016 10:19,morning,weekend
Tea,30-10-2016 10:19,morning,weekend
Pastry,30-10-2016 10:20,morning,weekend
Bread,30-10-2016 10:20,morning,weekend
Bread,30-10-2016 10:21,morning,weekend
Muffin,30-10-2016 10:21,morning,weekend
Scandinavian,30-10-2016 10:25,morning,weekend
Medialuna,30-10-2016 10:25,morning,weekend
Bread,30-10-2016 10:27,morning,weekend
Medialuna,30-10-2016 10:27,morning,weekend
Bread,30-10-2016 10:27,morning,weekend
Jam,30-10-2016 10:30,morning,weekend
Coffee,30-10-2016 10:30,morning,weekend
Tartine,30-10-2016 10:30,morning,weekend
Pastry,30-10-2016 10:30,morning,weekend
Tea,30-10-2016 10:30,morning,weekend
Basket,30-10-2016 10:31,morning,weekend
Bread,30-10-2016 10:31,morning,weekend
Coffee,30-10-2016 10:31,morning,weekend
Bread,30-10-2016 10:32,morning,weekend
Medialuna,30-10-2016 10:32,morning,weekend
Pastry,30-10-2016 10:32,morning,weekend
Mineral water,30-10-2016 10:34,morning,weekend
Scandinavian,30-10-2016 10:34,morning,weekend
Bread,30-10-2016 10:37,morning,weekend
Medialuna,30-10-2016 10:37,morning,weekend
Coffee,30-10-2016 10:37,morning,weekend
Hot chocolate,30-10-2016 10:38,morning,weekend
Farm House,30-10-2016 10:41,morning,weekend
Farm House,30-10-2016 10:43,morning,weekend
Bread,30-10-2016 10:43,morning,weekend
Bread,30-10-2016 10:45,morning,weekend
Medialuna,30-10-2016 10:45,morning,weekend
Coffee,30-10-2016 10:49,morning,weekend
Coffee,30-10-2016 10:49,morning,weekend
Medialuna,30-10-2016 10:49,morning,weekend
Bread,30-10-2016 10:49,morning,weekend
Jam,30-10-2016 10:52,morning,weekend
Scandinavian,30-10-2016 10:53,morning,weekend
Muffin,30-10-2016 10:53,morning,weekend
Bread,30-10-2016 10:54,morning,weekend
Scandinavian,30-10-2016 10:55,morning,weekend
Fudge,30-10-2016 10:56,morning,weekend
Scandinavian,30-10-2016 11:02,morning,weekend
Coffee,30-10-2016 11:03,morning,weekend
Bread,30-10-2016 11:03,morning,weekend
Bread,30-10-2016 11:05,morning,weekend
Jam,30-10-2016 11:05,morning,weekend
Bread,30-10-2016 11:07,morning,weekend
Basket,30-10-2016 11:12,morning,weekend
Scandinavian,30-10-2016 11:16,morning,weekend
Muffin,30-10-2016 11:16,morning,weekend
Coffee,30-10-2016 11:22,morning,weekend
Coffee,30-10-2016 11:25,morning,weekend
Muffin,30-10-2016 11:25,morning,weekend
Muffin,30-10-2016 11:27,morning,weekend
Scandinavian,30-10-2016 11:27,morning,weekend
Tea,30-10-2016 11:33,morning,weekend
Bread,30-10-2016 11:33,morning,weekend
Coffee,30-10-2016 11:37,morning,weekend
Bread,30-10-2016 11:37,morning,weekend
Bread,30-10-2016 11:42,morning,weekend
Tea,30-10-2016 11:42,morning,weekend
Scandinavian,30-10-2016 11:44,morning,weekend
Juice,30-10-2016 11:55,morning,weekend
Tartine,30-10-2016 11:55,morning,weekend
Coffee,30-10-2016 11:55,morning,weekend
Muffin,30-10-2016 11:55,morning,weekend
Scandinavian,30-10-2016 11:57,morning,weekend
Bread,30-10-2016 11:57,morning,weekend
Tea,30-10-2016 11:57,morning,weekend
Scandinavian,30-10-2016 12:00,afternoon,weekend
Fudge,30-10-2016 12:00,afternoon,weekend
Coffee,30-10-2016 12:05,afternoon,weekend
Medialuna,30-10-2016 12:05,afternoon,weekend
Coffee,30-10-2016 12:08,afternoon,weekend
Hot chocolate,30-10-2016 12:08,afternoon,weekend
Medialuna,30-10-2016 12:08,afternoon,weekend
Coffee,30-10-2016 12:09,afternoon,weekend
Ella's Kitchen Pouches,30-10-2016 12:15,afternoon,weekend
Juice,30-10-2016 12:15,afternoon,weekend
Bread,30-10-2016 12:15,afternoon,weekend
Muffin,30-10-2016 12:15,afternoon,weekend
Jam,30-10-2016 12:15,afternoon,weekend
Coffee,30-10-2016 12:17,afternoon,weekend
Coffee,30-10-2016 12:23,afternoon,weekend
Coffee,30-10-2016 12:23,afternoon,weekend
Medialuna,30-10-2016 12:23,afternoon,weekend
Bread,30-10-2016 12:25,afternoon,weekend
Victorian Sponge,30-10-2016 12:25,afternoon,weekend
Bread,30-10-2016 12:26,afternoon,weekend
Scandinavian,30-10-2016 12:28,afternoon,weekend
Bread,30-10-2016 12:33,afternoon,weekend
Frittata,30-10-2016 12:38,afternoon,weekend
Coffee,30-10-2016 12:38,afternoon,weekend
Tea,30-10-2016 12:38,afternoon,weekend
Hearty & Seasonal,30-10-2016 12:38,afternoon,weekend
Coffee,30-10-2016 12:39,afternoon,weekend
Frittata,30-10-2016 12:39,afternoon,weekend
Scandinavian,30-10-2016 12:45,afternoon,weekend
Victorian Sponge,30-10-2016 12:59,afternoon,weekend
Hot chocolate,30-10-2016 12:59,afternoon,weekend
Tea,30-10-2016 12:59,afternoon,weekend
Soup,30-10-2016 12:59,afternoon,weekend
Tea,30-10-2016 13:02,afternoon,weekend
Cookies,30-10-2016 13:14,afternoon,weekend
Coffee,30-10-2016 13:14,afternoon,weekend
Juice,30-10-2016 13:14,afternoon,weekend
Coffee,30-10-2016 13:14,afternoon,weekend
Coffee,30-10-2016 13:15,afternoon,weekend
Pick and Mix Bowls,30-10-2016 13:24,afternoon,weekend
Hearty & Seasonal,30-10-2016 13:24,afternoon,weekend
Hearty & Seasonal,30-10-2016 13:24,afternoon,weekend
Coffee,30-10-2016 13:24,afternoon,weekend
Smoothies,30-10-2016 13:24,afternoon,weekend
Coffee,30-10-2016 13:24,afternoon,weekend
Coffee,30-10-2016 13:33,afternoon,weekend
Cake,30-10-2016 13:34,afternoon,weekend
Tartine,30-10-2016 13:37,afternoon,weekend
Mighty Protein,30-10-2016 13:37,afternoon,weekend
Tea,30-10-2016 13:37,afternoon,weekend
Coffee,30-10-2016 13:37,afternoon,weekend
Hearty & Seasonal,30-10-2016 13:40,afternoon,weekend
Frittata,30-10-2016 13:40,afternoon,weekend
Mineral water,30-10-2016 13:40,afternoon,weekend
Hearty & Seasonal,30-10-2016 13:46,afternoon,weekend
Mineral water,30-10-2016 13:46,afternoon,weekend
Muffin,30-10-2016 13:46,afternoon,weekend
Frittata,30-10-2016 13:49,afternoon,weekend
Coffee,30-10-2016 13:49,afternoon,weekend
Tea,30-10-2016 13:49,afternoon,weekend
Scandinavian,30-10-2016 13:49,afternoon,weekend
Chicken sand,30-10-2016 13:49,afternoon,weekend
Bread,30-10-2016 13:51,afternoon,weekend
Tea,30-10-2016 13:51,afternoon,weekend
Victorian Sponge,30-10-2016 13:51,afternoon,weekend
Fudge,30-10-2016 13:54,afternoon,weekend
Muffin,30-10-2016 13:56,afternoon,weekend
Coffee,30-10-2016 14:21,afternoon,weekend
Bread,30-10-2016 14:21,afternoon,weekend
Bread,30-10-2016 14:22,afternoon,weekend
Coffee,30-10-2016 14:24,afternoon,weekend
Bread,30-10-2016 14:24,afternoon,weekend
Jam,30-10-2016 14:32,afternoon,weekend
Frittata,30-10-2016 14:32,afternoon,weekend
Coffee,30-10-2016 14:32,afternoon,weekend
Scandinavian,30-10-2016 14:35,afternoon,weekend
Fudge,30-10-2016 14:42,afternoon,weekend
Fudge,30-10-2016 14:45,afternoon,weekend
Tea,30-10-2016 14:45,afternoon,weekend
Coffee,30-10-2016 14:45,afternoon,weekend
Muffin,30-10-2016 14:45,afternoon,weekend
Frittata,30-10-2016 14:48,afternoon,weekend
Bread,30-10-2016 14:48,afternoon,weekend
Coffee,30-10-2016 14:48,afternoon,weekend
Coffee,31-10-2016 08:28,morning,weekday
Cake,31-10-2016 08:28,morning,weekday
Tartine,31-10-2016 08:47,morning,weekday
Bread,31-10-2016 08:47,morning,weekday
Coffee,31-10-2016 08:57,morning,weekday
Bread,31-10-2016 08:57,morning,weekday
Bread,31-10-2016 09:04,morning,weekday
Coffee,31-10-2016 09:10,morning,weekday
Coffee,31-10-2016 09:10,morning,weekday
Pastry,31-10-2016 09:10,morning,weekday
Medialuna,31-10-2016 09:10,morning,weekday
Juice,31-10-2016 09:11,morning,weekday
Bread,31-10-2016 09:12,morning,weekday
Coffee,31-10-2016 09:16,morning,weekday
Coffee,31-10-2016 09:16,morning,weekday
Jam,31-10-2016 09:16,morning,weekday
Bread,31-10-2016 09:19,morning,weekday
Bread,31-10-2016 09:20,morning,weekday
Coffee,31-10-2016 09:20,morning,weekday
Tea,31-10-2016 09:22,morning,weekday
Coffee,31-10-2016 09:27,morning,weekday
Bread,31-10-2016 09:29,morning,weekday
Coke,31-10-2016 09:29,morning,weekday
Coffee,31-10-2016 09:39,morning,weekday
Coffee,31-10-2016 09:39,morning,weekday
Tea,31-10-2016 09:43,morning,weekday
Pastry,31-10-2016 09:43,morning,weekday
Farm House,31-10-2016 09:43,morning,weekday
Pastry,31-10-2016 09:46,morning,weekday
Pastry,31-10-2016 09:46,morning,weekday
Coffee,31-10-2016 09:46,morning,weekday
Juice,31-10-2016 09:46,morning,weekday
Coffee,31-10-2016 09:51,morning,weekday
Pastry,31-10-2016 09:51,morning,weekday
Juice,31-10-2016 09:51,morning,weekday
Farm House,31-10-2016 09:52,morning,weekday
Pastry,31-10-2016 09:56,morning,weekday
Pastry,31-10-2016 09:56,morning,weekday
Coffee,31-10-2016 09:56,morning,weekday
Bread,31-10-2016 09:56,morning,weekday
Bread,31-10-2016 09:58,morning,weekday
Coffee,31-10-2016 10:04,morning,weekday
Pastry,31-10-2016 10:04,morning,weekday
Farm House,31-10-2016 10:04,morning,weekday
Bread,31-10-2016 10:07,morning,weekday
Coffee,31-10-2016 10:12,morning,weekday
Coffee,31-10-2016 10:12,morning,weekday
